Date,Count
7/15/1918,12
7/16/1918,11
7/17/1918,8
7/18/1918,13
7/19/1918,6
7/20/1918,10
7/21/1918,4
7/22/1918,11
7/23/1918,23
7/24/1918,22
7/25/1918,22
7/26/1918,10
7/27/1918,6
7/28/1918,5
7/29/1918,12
7/30/1918,4
7/31/1918,7
8/01/1918,3
8/02/1918,3
8/03/1918,13
8/04/1918,5
8/05/1918,4
8/06/1918,11
8/07/1918,2
8/08/1918,4
8/09/1918,5
8/10/1918,8
8/11/1918,6
8/12/1918,3
8/13/1918,4
8/14/1918,4
8/15/1918,9
8/16/1918,16
8/17/1918,4
8/18/1918,7
8/19/1918,6
8/20/1918,3
8/21/1918,19
8/22/1918,22
8/23/1918,27
8/24/1918,111
8/25/1918,108
8/26/1918,136
8/27/1918,40
8/28/1918,31
8/29/1918,44
8/30/1918,96
8/31/1918,55
9/01/1918,78
9/02/1918,69
9/03/1918,27
9/04/1918,51
9/05/1918,41
9/06/1918,22
9/07/1918,27
9/08/1918,9
9/09/1918,52
9/10/1918,15
9/11/1918,14
9/12/1918,85
9/13/1918,37
9/14/1918,9
9/15/1918,9
9/16/1918,7
9/17/1918,5
9/18/1918,11
9/19/1918,4
9/20/1918,6
9/21/1918,3
9/22/1918,9
9/23/1918,5
9/24/1918,5
9/25/1918,6
9/26/1918,11
9/27/1918,18
9/28/1918,4
9/29/1918,72
9/30/1918,56
10/01/1918,119
10/02/1918,18
10/03/1918,15
10/04/1918,15
10/05/1918,39
10/06/1918,15
10/07/1918,11
10/08/1918,166
10/09/1918,27
10/10/1918,25
10/11/1918,27
10/12/1918,33
10/13/1918,13
10/14/1918,10
10/15/1918,8
10/16/1918,14
10/17/1918,10
10/18/1918,11
10/19/1918,21
10/20/1918,16
10/21/1918,10
10/22/1918,15
10/23/1918,61
10/24/1918,46
10/25/1918,8
10/26/1918,36
10/27/1918,20
10/28/1918,14
10/29/1918,17
10/30/1918,10
10/31/1918,18
11/01/1918,12
11/02/1918,10
11/03/1918,21
11/04/1918,138
11/05/1918,44
11/06/1918,29
11/07/1918,36
11/08/1918,18
11/09/1918,30
11/10/1918,25
11/11/1918,21
11/12/1918,34
11/13/1918,29
11/14/1918,47
11/15/1918,48
11/16/1918,34
11/17/1918,38
11/18/1918,37
11/19/1918,33
11/20/1918,36
11/21/1918,39
11/22/1918,26
11/23/1918,30
11/24/1918,26
11/25/1918,26
11/26/1918,24
11/27/1918,20
11/28/1918,19
11/29/1918,12
11/30/1918,8
12/01/1918,8
12/02/1918,7
12/03/1918,7
12/04/1918,8
12/05/1918,7
12/06/1918,5
12/07/1918,1
12/08/1918,6
12/09/1918,3
12/10/1918,9
12/11/1918,3
12/12/1918,6
12/13/1918,7
12/14/1918,9
12/15/1918,7
12/16/1918,7
12/17/1918,4
12/18/1918,6
12/19/1918,3
12/20/1918,2
12/21/1918,2
12/22/1918,2
12/23/1918,2
12/25/1918,1
12/26/1918,1
12/27/1918,2
12/28/1918,3
12/29/1918,1
12/30/1918,2
12/31/1918,4

